Scenario,Context Size,NLLH_TabPFN_mean,NLLH_TabPFN_std,NLLH_DistNet_mean,NLLH_DistNet_std,CRPS_TabPFN_mean,CRPS_TabPFN_std,CRPS_DistNet_mean,CRPS_DistNet_std,Wasserstein_TabPFN_mean,Wasserstein_TabPFN_std,Wasserstein_DistNet_mean,Wasserstein_DistNet_std,KS_TabPFN_mean,KS_TabPFN_std,KS_DistNet_mean,KS_DistNet_std
yalsat_swgcp,64,0.0473,0.3955,6.1703,4.6845,0.5075,0.2564,2.3548,0.9598,0.4189,0.3461,2.9147,1.1858,0.2363,0.1341,0.8281,0.173
yalsat_swgcp,128,-0.0078,0.3814,3.0226,2.5656,0.4919,0.263,2.2357,1.0562,0.3667,0.3398,3.0271,1.471,0.2125,0.126,0.753,0.189
yalsat_swgcp,256,-0.0397,0.3865,0.9413,0.6653,0.4828,0.2602,1.761,1.0462,0.3386,0.3312,3.0193,2.0829,0.1978,0.1196,0.5531,0.1983
yalsat_swgcp,512,-0.0548,0.3699,0.6394,0.6483,0.4789,0.2606,1.4026,1.1234,0.3215,0.3307,2.3647,2.4049,0.1893,0.1186,0.4412,0.223
yalsat_swgcp,1024,-0.0629,0.3763,0.2715,0.5883,0.4769,0.2601,0.8441,0.7923,0.3124,0.3301,1.1448,1.7376,0.185,0.1183,0.3048,0.2075
yalsat_swgcp,2048,-0.0673,0.3742,-0.0118,0.4185,0.4755,0.2587,0.4884,0.2624,0.3076,0.328,0.3505,0.3388,0.1824,0.1175,0.2084,0.1258
yalsat_swgcp,4096,-0.0688,0.3691,-0.0313,0.3964,0.475,0.2582,0.4825,0.2589,0.3062,0.3271,0.3337,0.3317,0.1812,0.1173,0.1986,0.122
yalsat_swgcp,8192,-0.0696,0.3632,-0.041,0.3853,0.4746,0.2575,0.4794,0.2558,0.3068,0.3257,0.3257,0.3261,0.1806,0.1169,0.194,0.1197
yalsat_swgcp,10192,-0.07,0.357,-0.0438,0.3801,0.4746,0.2575,0.4785,0.2549,0.3071,0.3256,0.3232,0.3244,0.1804,0.117,0.1926,0.1191
yalsat_swgcp,12192,-0.0699,0.3578,-0.0452,0.3799,0.4746,0.2578,0.4779,0.2545,0.3069,0.3259,0.3213,0.3234,0.1803,0.1172,0.1917,0.1187
